symbol,mean_daily_return,annualized_expected_return,daily_volatility,annualized_volatility,return_observations,prediction_date,market_state_date,q_hold,q_buy,q_sell,selected_q_value,action_id,trade_action,top30_probability,agent2_rank,agent3_score,agent3_rank,risk_level,risk_decision,risk_adjusted_weight,eligible_for_mpt,forced_weight,historical_volatility_annual,individual_var_percent,sharpe_ratio,risk_contribution_percent,max_drawdown_percent,paper_core_risk_score,mpt_expected_return,mpt_weight,mpt_allocation_percent,sell_zero_weight_enforced,mpt_allocation_rank
BHARATFORG,0.0010092195144840868,0.2894233074147887,0.016911793268501833,0.26846639527555227,105,2025-12-01,2025-12-01,-1.1803292036056519,-1.1844605207443237,-1.182900309562683,-1.1803292036056519,0,HOLD,0.40766072273254395,9,0.593830361366272,2,LOW,WATCH,0.11355629860812036,True,,0.31155203306030443,3.228178762306181,0.41341471091235205,7.580202594375139,-31.013487114431836,0.7999999999999999,0.2543233176499899,0.21240504589740272,21.240504589740272,False,1
HBLENGINE,0.004141895618308674,1.8337532742281262,0.03149751347092254,0.5000075253658075,105,2025-12-01,2025-12-01,-1.214816927909851,-1.1900211572647095,-1.195862889289856,-1.1900211572647095,1,BUY,0.5249953866004944,4,0.44583102663358054,9,MEDIUM,ACCEPTABLE,0.08525485472431288,True,,0.5291578621460876,5.482924170668779,1.0275014758388021,12.78879188673813,-42.346434980719685,0.43333333333333335,1.0437576958137857,0.1917143049545384,19.17143049545384,False,2
CGCL,0.001087000970255183,0.31491953592070177,0.018289833393305515,0.290342104076946,105,2025-12-01,2025-12-01,-1.1546837091445923,-1.183026909828186,-1.1799900531768799,-1.1546837091445923,0,HOLD,0.42395713925361633,8,0.4119785696268082,10,HIGH,CAUTION,0.0787813566235505,True,,0.46098350233468116,4.776528457839636,-0.006587065303358922,9.220181001407536,-29.15298907524525,0.3,0.2739242445043061,0.1482783577719474,14.827835777194739,False,3
CREDITACC,0.0012564912861101512,0.37222985148680876,0.02264024110892954,0.35940268558061267,105,2025-12-01,2025-12-01,-1.193009376525879,-1.200363039970398,-1.2002638578414917,-1.193009376525879,0,HOLD,0.430004745721817,7,0.5016690395275751,7,MEDIUM,WATCH,0.09593258102191383,True,,0.49924627684470596,5.1729921716112095,0.8926955306837954,9.615179938756162,-21.180217089799047,0.4666666666666666,0.3166358040997581,0.12106819674643969,12.106819674643969,False,4
360ONE,0.00010797392981723944,0.027581477894311313,0.017314335155816363,0.2748565496322773,105,2025-12-01,2025-12-01,-1.145761489868164,-1.172850489616394,-1.1689388751983643,-1.145761489868164,0,HOLD,0.38252511620521545,10,0.5112625581026078,6,LOW,WATCH,0.09776711918446666,True,,0.3930674299848966,4.072809017381395,0.412297516862134,7.805470744445178,-37.667195576841614,0.7000000000000001,0.02720943031394434,0.10464288781323296,10.464288781323296,False,5
MRPL,0.0014849793632864523,0.4534459056121456,0.025562079129105613,0.40578542621620795,105,2025-12-01,2025-12-01,-1.2065285444259644,-1.2268309593200684,-1.223768711090088,-1.2065285444259644,0,HOLD,0.6166498064994812,2,0.5549915699164072,4,MEDIUM,ACCEPTABLE,0.10612927956969997,True,,0.4194162112973602,4.345824652715353,0.3320890883015812,10.06226017598424,-35.45512566112513,0.4666666666666666,0.374214799548186,0.09830546490919752,9.830546490919751,False,6
IDEA,0.0033385605014100857,1.3161723407708346,0.03418801207718883,0.5427178666554864,105,2025-12-01,2025-12-01,-1.2045847177505493,-1.2210414409637451,-1.220504641532898,-1.2045847177505493,0,HOLD,0.6222227215766907,1,0.447778027455012,8,HIGH,CAUTION,0.08562717352283311,True,,0.5496061351192612,5.69480107575404,0.7737624083783557,13.900267317954496,-38.128769064492474,0.26666666666666666,0.8413172463553416,0.06957305055735094,6.957305055735094,False,7
HINDCOPPER,0.0022259301566428164,0.7512170860837271,0.02757464639707393,0.4377339411432051,105,2025-12-01,2025-12-01,-1.132917046546936,-1.1525009870529175,-1.16061532497406,-1.132917046546936,0,HOLD,0.5750710368156433,3,0.5375355184078217,5,MEDIUM,ACCEPTABLE,0.10279121414463993,True,,0.4391447610420553,4.550244070786037,0.6601202701856964,12.968117500918986,-35.72649572649572,0.5,0.5609343994739897,0.05401269134989051,5.40126913498905,False,8
GVT&D,0.0018756206607326447,0.6035400202920842,0.022335518180866883,0.35456535906201336,105,2025-12-01,2025-12-01,-1.2216540575027466,-1.2156388759613037,-1.2062907218933105,-1.2062907218933105,2,SELL,0.48628807067871094,6,0.5831440353393555,3,LOW,WATCH,0.11151278633881796,False,0.0,0.41919881340012954,4.343572061814513,1.2328626834016114,8.586462931728533,-39.90258384190537,0.7999999999999999,0.4726564065046265,0.0,0.0,True,9
HONASA,-0.0006172747814989798,-0.14409960813181488,0.017593097472716892,0.27928176422476714,105,2025-12-01,2025-12-01,-1.2362786531448364,-1.2284910678863525,-1.2135003805160522,-1.2135003805160522,2,SELL,0.48940858244895935,5,0.6413709578911463,1,LOW,WATCH,0.12264733626164478,False,0.0,0.41065217252914177,4.255015154392758,0.784474348657065,7.473065907691609,-27.82827555788182,0.7666666666666666,-0.15555324493774292,0.0,0.0,True,9
