symbol,trade_action,rebalance_direction,current_weight,equal_weight_benchmark,final_weight,current_allocation_percent,benchmark_allocation_percent,final_allocation_percent,risk_level,agent3_rank,portfolio_status,final_decision
BHARATFORG,HOLD,BUY,0.1135562986081203,0.125,0.2124050458974027,11.35562986081203,12.5,21.24050458974027,LOW,2,ACTIVE,INCREASE_ALLOCATION
HBLENGINE,BUY,BUY,0.0852548547243128,0.125,0.1917143049545384,8.52548547243128,12.5,19.17143049545384,MEDIUM,9,ACTIVE,INCREASE_ALLOCATION
CGCL,HOLD,BUY,0.0787813566235505,0.125,0.1482783577719474,7.87813566235505,12.5,14.827835777194739,HIGH,10,ACTIVE,INCREASE_ALLOCATION
CREDITACC,HOLD,BUY,0.0959325810219138,0.125,0.1210681967464396,9.59325810219138,12.5,12.10681967464396,MEDIUM,7,ACTIVE,INCREASE_ALLOCATION
360ONE,HOLD,BUY,0.0977671191844666,0.125,0.1046428878132329,9.77671191844666,12.5,10.46428878132329,LOW,6,ACTIVE,INCREASE_ALLOCATION
MRPL,HOLD,SELL,0.1061292795696999,0.125,0.0983054649091975,10.61292795696999,12.5,9.830546490919751,MEDIUM,4,ACTIVE,REDUCE_ALLOCATION
IDEA,HOLD,SELL,0.0856271735228331,0.125,0.0695730505573509,8.56271735228331,12.5,6.95730505573509,HIGH,8,ACTIVE,REDUCE_ALLOCATION
HINDCOPPER,HOLD,SELL,0.1027912141446399,0.125,0.0540126913498905,10.27912141446399,12.5,5.40126913498905,MEDIUM,5,ACTIVE,REDUCE_ALLOCATION
GVT&D,SELL,SELL,0.1115127863388179,0.0,0.0,11.151278633881791,0.0,0.0,LOW,3,EXIT,EXIT_POSITION
HONASA,SELL,SELL,0.1226473362616447,0.0,0.0,12.264733626164471,0.0,0.0,LOW,1,EXIT,EXIT_POSITION
