system_row,symbol,agent1_selection_date,agent1_selection_rank,agent1_buy_probability,agent1_bgsto_score,agent1_return_21d,agent1_return_63d,agent1_volatility_60d,agent1_sharpe_252d,agent1_final_rank,agent1_final_score,agent1_score_category,agent2_prediction_date,agent2_probability_seed_42,agent2_probability_seed_123,agent2_probability_seed_456,agent2_top30_probability,agent2_ensemble_std,agent2_trend_class,agent2_rank,agent3_rank,agent3_score,agent3_risk_level,agent3_risk_decision,agent3_volatility,agent3_var_percent,agent3_sharpe_ratio,agent3_risk_adjusted_weight,agent3_risk_adjusted_weight_percent,agent4_prediction_date,agent4_q_hold,agent4_q_buy,agent4_q_sell,agent4_action_id,agent4_trade_action,agent4_q_margin,agent5_current_weight,agent5_target_weight,agent5_weight_change,agent5_rebalance_direction,agent5_final_weight,agent5_final_allocation_percent,agent5_portfolio_status,agent5_final_decision
1,BHARATFORG,2025-12-01,9,0.7836069963883289,0.6453246985610936,0.0879138540363029,0.2948405797743549,0.2686359224675889,0.4356357189036877,9,11.628700836010161,Weak,2025-12-01,0.415828,0.42212754,0.3850267,0.40766072,0.016210003,NOT_TOP30,9,2,0.593830361366272,LOW,WATCH,0.31155203306030443,3.228178762306181,0.41341471091235205,0.11355629860812036,11.355629860812035,2025-12-01,-1.1803292036056519,-1.1844605207443237,-1.182900309562683,0,HOLD,0.00257110595703125,0.1135562986081203,0.2124050458974027,0.0988487472892823,BUY,0.2124050458974027,21.24050458974027,ACTIVE,INCREASE_ALLOCATION
2,HBLENGINE,2025-12-01,8,0.8645746734539576,0.6621865671130415,-0.1320369212593212,0.0796322006250176,0.5129589241673236,1.0296737636184996,8,18.987700113802767,Weak,2025-12-01,0.49364296,0.47137174,0.6099715,0.5249954,0.060771193,TOP30,4,9,0.44583102663358054,MEDIUM,ACCEPTABLE,0.5291578621460876,5.482924170668779,1.0275014758388021,0.08525485472431288,8.525485472431289,2025-12-01,-1.214816927909851,-1.1900211572647095,-1.195862889289856,1,BUY,0.005841732025146484,0.0852548547243128,0.1917143049545384,0.1064594502302256,BUY,0.1917143049545384,19.17143049545384,ACTIVE,INCREASE_ALLOCATION
3,CGCL,2025-12-01,5,0.9515648599412851,0.756099935056373,-0.0797097756402446,0.0275822916508603,0.2217304790464354,-0.0043255944226557,5,59.974166396640285,Good,2025-12-01,0.45303965,0.41735578,0.401476,0.42395714,0.021562096,NOT_TOP30,8,10,0.4119785696268082,HIGH,CAUTION,0.46098350233468116,4.776528457839636,-0.006587065303358922,0.0787813566235505,7.87813566235505,2025-12-01,-1.1546837091445923,-1.183026909828186,-1.1799900531768799,0,HOLD,0.025306344032287598,0.0787813566235505,0.1482783577719474,0.0694970011483968,BUY,0.1482783577719474,14.827835777194739,ACTIVE,INCREASE_ALLOCATION
4,CREDITACC,2025-12-01,6,0.9515648599412851,0.7514665591741407,-0.0869565217391304,-0.0399314404165824,0.3800627375834597,0.892695530683795,6,57.95202930868689,Good,2025-12-01,0.44011745,0.3968747,0.45302215,0.43000475,0.02401158,NOT_TOP30,7,7,0.5016690395275751,MEDIUM,WATCH,0.49924627684470596,5.1729921716112095,0.8926955306837954,0.09593258102191383,9.593258102191383,2025-12-01,-1.193009376525879,-1.200363039970398,-1.2002638578414917,0,HOLD,0.007254481315612793,0.0959325810219138,0.1210681967464396,0.0251356157245257,BUY,0.1210681967464396,12.10681967464396,ACTIVE,INCREASE_ALLOCATION
5,360ONE,2025-12-01,10,0.7836069963883289,0.6186795505559228,0.0622543749860864,0.1740977483093244,0.2514458180817724,0.4407948259720085,10,0.0,Weak,2025-12-01,0.40595654,0.35038993,0.3912289,0.38252512,0.02350502,NOT_TOP30,10,6,0.5112625581026078,LOW,WATCH,0.3930674299848966,4.072809017381395,0.412297516862134,0.09776711918446666,9.776711918446667,2025-12-01,-1.145761489868164,-1.172850489616394,-1.1689388751983643,0,HOLD,0.023177385330200195,0.0977671191844666,0.1046428878132329,0.0068757686287662,BUY,0.1046428878132329,10.46428878132329,ACTIVE,INCREASE_ALLOCATION
6,MRPL,2025-12-01,3,0.9515648599412851,0.8114313546102739,-0.003813429824199,0.3273235292277412,0.4013679925054178,0.3320890948689632,3,84.12237246774978,Excellent,2025-12-01,0.6705726,0.5617726,0.6176042,0.6166498,0.044422537,TOP30,2,4,0.5549915699164072,MEDIUM,ACCEPTABLE,0.4194162112973602,4.345824652715353,0.3320890883015812,0.10612927956969997,10.612927956969997,2025-12-01,-1.2065285444259644,-1.2268309593200684,-1.223768711090088,0,HOLD,0.017240166664123535,0.1061292795696999,0.0983054649091975,-0.0078238146605024,SELL,0.0983054649091975,9.830546490919751,ACTIVE,REDUCE_ALLOCATION
7,IDEA,2025-12-01,1,0.9515648599412851,0.8478121800811385,0.1374571392740362,0.5300463259438508,0.5799343909298862,0.773762408378356,1,100.0,Excellent,2025-12-01,0.5956324,0.57388675,0.697149,0.6222227,0.05371951,TOP30,1,8,0.447778027455012,HIGH,CAUTION,0.5496061351192612,5.69480107575404,0.7737624083783557,0.08562717352283311,8.562717352283311,2025-12-01,-1.2045847177505493,-1.2210414409637451,-1.220504641532898,0,HOLD,0.015919923782348633,0.0856271735228331,0.0695730505573509,-0.0160541229654822,SELL,0.0695730505573509,6.95730505573509,ACTIVE,REDUCE_ALLOCATION
8,HINDCOPPER,2025-12-01,2,0.9515648599412851,0.846585124758885,-0.0258398000846875,0.4834698412354765,0.5044851538718181,0.6719256983321283,2,99.46447813879847,Excellent,2025-12-01,0.5731475,0.57154304,0.5805225,0.57507104,0.003910033,TOP30,3,5,0.5375355184078217,MEDIUM,ACCEPTABLE,0.4391447610420553,4.550244070786037,0.6601202701856964,0.10279121414463993,10.279121414463994,2025-12-01,-1.132917046546936,-1.1525009870529175,-1.16061532497406,0,HOLD,0.019583940505981445,0.1027912141446399,0.0540126913498905,-0.0487785227947494,SELL,0.0540126913498905,5.40126913498905,ACTIVE,REDUCE_ALLOCATION
9,HONASA,2025-12-01,4,0.9515648599412851,0.7770470424088295,0.0296442378097625,-0.0218468782462035,0.2525727760495437,0.7844742228526839,4,69.11608014147048,Strong,2025-12-01,0.47221956,0.4941142,0.501892,0.48940858,0.012562382,NOT_TOP30,5,1,0.6413709578911463,LOW,WATCH,0.41065217252914177,4.255015154392758,0.784474348657065,0.12264733626164478,12.264733626164478,2025-12-01,-1.2362786531448364,-1.2284910678863525,-1.2135003805160522,2,SELL,0.014990687370300293,0.1226473362616447,0.0,-0.1226473362616447,SELL,0.0,0.0,EXIT,EXIT_POSITION
10,GVT&D,2025-12-01,7,0.8645746734539576,0.6866681368628504,-0.0856182169587386,0.007952008437148,0.3584194479222142,1.2371327412901527,7,29.672153829773766,Moderate,2025-12-01,0.60294324,0.4088691,0.44705188,0.48628807,0.083947614,NOT_TOP30,6,3,0.5831440353393555,LOW,WATCH,0.41919881340012954,4.343572061814513,1.2328626834016114,0.11151278633881796,11.151278633881796,2025-12-01,-1.2216540575027466,-1.2156388759613037,-1.2062907218933105,2,SELL,0.009348154067993164,0.1115127863388179,0.0,-0.1115127863388179,SELL,0.0,0.0,EXIT,EXIT_POSITION
