symbol,observations,volatility_20d_daily,volatility_20d_annual,volatility_60d_daily,volatility_60d_annual,volatility_252d_daily,volatility_252d_annual,historical_volatility_daily,historical_volatility_annual,prediction_date,top30_probability,ensemble_std,trend_class,agent2_rank,individual_var_fraction,individual_var_percent,weight,marginal_volatility,component_volatility,risk_contribution_fraction,risk_contribution_percent,component_var_fraction,component_var_percent,risk_contribution_rank,mean_daily_return,annualized_return_arithmetic,annualized_return_geometric,sharpe_ratio
IDEA,252,0.03342762891586232,0.5306471581795401,0.036532432741290415,0.5799343909298885,0.03462193220383161,0.5496061351192612,0.03462193220383161,0.5496061351192612,2025-12-01,0.6222227215766907,0.05371950939297676,TOP30,1,0.056948010757540406,5.69480107575404,0.1,0.02141482076832656,0.0021414820768326562,0.13900267317954496,13.900267317954496,0.0035224245611297656,0.35224245611297655,1,0.0016875578046404742,0.4252645667693995,0.32047876733536107,0.7737624083783557
MRPL,252,0.028097418308046195,0.4460326879562607,0.025283804584007887,0.40136795476103865,0.026420737879088906,0.4194162112973602,0.026420737879088906,0.4194162112973602,2025-12-01,0.6166498064994812,0.044422537088394165,TOP30,2,0.043458246527153535,4.345824652715353,0.1,0.015501967930835586,0.0015501967930835587,0.1006226017598424,10.06226017598424,0.0025498468175920324,0.25498468175920325,4,0.0005527124890025543,0.13928354722864367,0.05470180573601602,0.3320890883015812
HINDCOPPER,252,0.028485589778401006,0.4521947190159154,0.03182743206533259,0.5052448206880373,0.027663519697003907,0.4391447610420553,0.027663519697003907,0.4391447610420553,2025-12-01,0.5750710368156433,0.003910033032298088,TOP30,3,0.045502440707860366,4.550244070786037,0.1,0.01997874613721066,0.0019978746137210663,0.12968117500918985,12.968117500918986,0.0032862113045733676,0.32862113045733676,2,0.0011503506282131532,0.2898883583097146,0.21438795706873592,0.6601202701856964
HBLENGINE,252,0.046823375874563464,0.7432980486515784,0.0322987962702602,0.5127274954670943,0.033333812084122554,0.5291578621460876,0.033333812084122554,0.5291578621460876,2025-12-01,0.5249953866004944,0.060771193355321884,TOP30,4,0.05482924170668779,5.482924170668779,0.1,0.019702476206639414,0.0019702476206639413,0.1278879188673813,12.78879188673813,0.0032407689448415923,0.3240768944841592,3,0.0021575812869317874,0.5437104843068105,0.5033249110196096,1.0275014758388021
HONASA,252,0.016874548426495436,0.26787515173813936,0.015910583775803747,0.2525726873078146,0.025868655330011887,0.41065217252914177,0.025868655330011887,0.41065217252914177,2025-12-01,0.48940858244895935,0.012562382034957409,NOT_TOP30,5,0.042550151543927585,4.255015154392758,0.1,0.011513042400011731,0.0011513042400011731,0.07473065907691609,7.473065907691609,0.0018937269548905376,0.18937269548905375,10,0.001278357522100822,0.3221460955694071,0.2729896935728864,0.784474348657065
GVT&D,252,0.025852877812309185,0.4104017122002582,0.02257830598928076,0.35841949603654244,0.026407043098812224,0.41919881340012954,0.026407043098812224,0.41919881340012954,2025-12-01,0.48628807067871094,0.08394761383533478,NOT_TOP30,6,0.04343572061814513,4.343572061814513,0.1,0.013228347377128356,0.0013228347377128356,0.08586462931728533,8.586462931728533,0.002175869516184357,0.2175869516184357,7,0.002050851483997044,0.516814573967255,0.5362215787376592,1.2328626834016114
CREDITACC,252,0.018966839095770842,0.30108923642632107,0.023941702053529426,0.3800627375834597,0.03144955932157134,0.49924627684470596,0.03144955932157134,0.49924627684470596,2025-12-01,0.430004745721817,0.024011580273509026,NOT_TOP30,7,0.0517299217161121,5.1729921716112095,0.1,0.014813193900070463,0.0014813193900070464,0.09615179938756162,9.615179938756162,0.0024365535713266324,0.24365535713266323,5,0.0017685512700388643,0.4456749200497938,0.3810820184783199,0.8926955306837954
CGCL,252,0.011159042060521675,0.17714430097110082,0.01399383190533534,0.22214519466215085,0.029039231087645938,0.46098350233468116,0.029039231087645938,0.46098350233468116,2025-12-01,0.42395713925361633,0.02156209573149681,NOT_TOP30,8,0.047765284578396364,4.776528457839636,0.1,0.014204656578196494,0.0014204656578196495,0.09220181001407536,9.220181001407536,0.0023364580892246594,0.23364580892246595,6,-1.2049716006546248e-05,-0.0030365284336496545,-0.10067591016866873,-0.006587065303358922
BHARATFORG,252,0.01667559787529299,0.264716909648054,0.016922490031322308,0.26863620112109077,0.019625933331765218,0.31155203306030443,0.019625933331765218,0.31155203306030443,2025-12-01,0.40766072273254395,0.016210002824664116,NOT_TOP30,9,0.03228178762306181,3.228178762306181,0.1,0.011678097710860083,0.0011678097710860083,0.07580202594375139,7.580202594375139,0.0019208761375601891,0.1920876137560189,9,0.0005111118796896083,0.1288001936817813,0.08384069397499938,0.41341471091235205
360ONE,252,0.014433988181801588,0.22913245893535414,0.015896552660616327,0.2523499502593977,0.02476092067188879,0.3930674299848966,0.02476092067188879,0.3930674299848966,2025-12-01,0.38252511620521545,0.023505020886659622,NOT_TOP30,10,0.04072809017381396,4.072809017381395,0.1,0.012025146940073917,0.0012025146940073917,0.07805470744445178,7.805470744445178,0.001977960655900498,0.1977960655900498,8,0.0006430981164371173,0.16206072534215354,0.08895300301456643,0.412297516862134
