symbol,360ONE,BHARATFORG,CGCL,CREDITACC,GVT&D,HBLENGINE,HINDCOPPER,HONASA,IDEA,MRPL
360ONE,0.15450200451493148,0.034911195604293975,0.024779405186628665,0.011792812938785355,0.04470000721479223,0.047413899780423624,0.045410285560166304,0.02403467614578533,0.047017928795222104,0.03229300982487427
BHARATFORG,0.034911195604293975,0.09706466930400902,0.0447689624508465,0.026999260624776932,0.030853021256505492,0.041635244295195085,0.07042573795412348,0.022996040152909715,0.05023627209240192,0.03349124458526245
CGCL,0.024779405186628665,0.0447689624508465,0.21250578942474893,0.012829836514965616,0.012039733811276888,0.04650975264103895,0.0604862668238859,0.025257587392580366,0.06606012140222267,0.046233406533131294
CREDITACC,0.011792812938785355,0.026999260624776932,0.012829836514965616,0.24924684494330074,0.04034062314090336,0.05895710679096973,0.052931899405703746,0.017674989826540123,0.059433650706833915,0.04488923081466202
GVT&D,0.04470000721479223,0.030853021256505492,0.012039733811276888,0.04034062314090336,0.17572764515607664,0.04074081238120216,0.06391858587470962,0.02639242727535037,0.03209316211158046,0.046761352670458674
HBLENGINE,0.047413899780423624,0.041635244295195085,0.04650975264103895,0.05895710679096973,0.04074081238120216,0.2800080430710179,0.07697203016737697,0.05229427265330944,0.07602092050804475,0.04436197817951858
HINDCOPPER,0.045410285560166304,0.07042573795412348,0.0604862668238859,0.052931899405703746,0.06391858587470962,0.07697203016737697,0.19284812115068375,0.038700902405856885,0.09584545259108403,0.07810047372945256
HONASA,0.02403467614578533,0.022996040152909715,0.025257587392580366,0.017674989826540123,0.02639242727535037,0.05229427265330944,0.038700902405856885,0.168635206802904,0.036904969900602734,0.03408259299623655
IDEA,0.047017928795222104,0.05023627209240192,0.06606012140222267,0.059433650706833915,0.03209316211158046,0.07602092050804475,0.09584545259108403,0.036904969900602734,0.30206690376073164,0.06571345100659386
MRPL,0.03229300982487427,0.03349124458526245,0.046233406533131294,0.04488923081466202,0.046761352670458674,0.04436197817951858,0.07810047372945256,0.03408259299623655,0.06571345100659386,0.17590995829903192
