symbol,360ONE,BHARATFORG,CGCL,CREDITACC,GVT&D,HBLENGINE,HINDCOPPER,HONASA,IDEA,MRPL
360ONE,0.0006131031925195693,0.00013853649049323005,9.833097296281217e-05,4.6796876741211725e-05,0.0001773809810110803,0.000188150395954062,0.0001801995458736758,9.537569899121162e-05,0.00018657908252072263,0.00012814686438442172
BHARATFORG,0.00013853649049323005,0.0003851772591428929,0.00017765461290018453,0.00010713992311419418,0.00012243262403375196,0.0001652192233936313,0.0002794672141036646,9.125412759091157e-05,0.00019935028608096,0.00013290176422723195
CGCL,9.833097296281217e-05,0.00017765461290018453,0.0008432769421617021,5.091204966256197e-05,4.7776721473320985e-05,0.0001845625104803133,0.00024002486834875358,0.00010022852139912844,0.000262143338897709,0.0001834658989409972
CREDITACC,4.6796876741211725e-05,0.00010713992311419418,5.091204966256197e-05,0.0009890747815210347,0.00016008183786072762,0.0002339567729800386,0.00021004721986390377,7.013884851801636e-05,0.00023584782026521395,0.00017813186831215088
GVT&D,0.0001773809810110803,0.00012243262403375196,4.7776721473320985e-05,0.00016008183786072762,0.0006973319252225263,0.00016166989040159588,0.0002536451820424985,0.00010473185426726337,0.00012735381790309708,0.00018556092329547093
HBLENGINE,0.000188150395954062,0.0001652192233936313,0.0001845625104803133,0.0002339567729800386,0.00016166989040159588,0.0011111430280595948,0.0003054445641562578,0.00020751695497345015,0.0003016703194763681,0.00017603959595047054
HINDCOPPER,0.0001801995458736758,0.0002794672141036646,0.00024002486834875358,0.00021004721986390377,0.0002536451820424985,0.0003054445641562578,0.0007652703220265228,0.00015357500954705114,0.0003803390975836668,0.0003099225147994149
HONASA,9.537569899121162e-05,9.125412759091157e-05,0.00010022852139912844,7.013884851801636e-05,0.00010473185426726337,0.00020751695497345015,0.00015357500954705114,0.0006691873285829524,0.00014644829325636006,0.0001352483849057006
IDEA,0.00018657908252072263,0.00019935028608096,0.000262143338897709,0.00023584782026521395,0.00012735381790309708,0.0003016703194763681,0.0003803390975836668,0.00014644829325636006,0.0011986781895267128,0.0002607676627245788
MRPL,0.00012814686438442172,0.00013290176422723195,0.0001834658989409972,0.00017813186831215088,0.00018556092329547093,0.00017603959595047054,0.0003099225147994149,0.0001352483849057006,0.0002607676627245788,0.0006980553900755235
