symbol,observations,mean_daily_return,std_daily_return,annualized_return_arithmetic,annualized_return_geometric,annualized_volatility,risk_free_rate_annual,sharpe_ratio,prediction_date,top30_probability,ensemble_std,trend_class,agent2_rank
IDEA,252,0.0016875578046404742,0.03462193220383161,0.4252645667693995,0.32047876733536107,0.5496061351192612,0.0,0.7737624083783557,2025-12-01,0.6222227215766907,0.05371950939297676,TOP30,1
MRPL,252,0.0005527124890025543,0.026420737879088906,0.13928354722864367,0.05470180573601602,0.4194162112973602,0.0,0.3320890883015812,2025-12-01,0.6166498064994812,0.044422537088394165,TOP30,2
HINDCOPPER,252,0.0011503506282131532,0.027663519697003907,0.2898883583097146,0.21438795706873592,0.4391447610420553,0.0,0.6601202701856964,2025-12-01,0.5750710368156433,0.003910033032298088,TOP30,3
HBLENGINE,252,0.0021575812869317874,0.033333812084122554,0.5437104843068105,0.5033249110196096,0.5291578621460876,0.0,1.0275014758388021,2025-12-01,0.5249953866004944,0.060771193355321884,TOP30,4
HONASA,252,0.001278357522100822,0.025868655330011887,0.3221460955694071,0.2729896935728864,0.41065217252914177,0.0,0.784474348657065,2025-12-01,0.48940858244895935,0.012562382034957409,NOT_TOP30,5
GVT&D,252,0.002050851483997044,0.026407043098812224,0.516814573967255,0.5362215787376592,0.41919881340012954,0.0,1.2328626834016114,2025-12-01,0.48628807067871094,0.08394761383533478,NOT_TOP30,6
CREDITACC,252,0.0017685512700388643,0.03144955932157134,0.4456749200497938,0.3810820184783199,0.49924627684470596,0.0,0.8926955306837954,2025-12-01,0.430004745721817,0.024011580273509026,NOT_TOP30,7
CGCL,252,-1.2049716006546248e-05,0.029039231087645938,-0.0030365284336496545,-0.10067591016866873,0.46098350233468116,0.0,-0.006587065303358922,2025-12-01,0.42395713925361633,0.02156209573149681,NOT_TOP30,8
BHARATFORG,252,0.0005111118796896083,0.019625933331765218,0.1288001936817813,0.08384069397499938,0.31155203306030443,0.0,0.41341471091235205,2025-12-01,0.40766072273254395,0.016210002824664116,NOT_TOP30,9
360ONE,252,0.0006430981164371173,0.02476092067188879,0.16206072534215354,0.08895300301456643,0.3930674299848966,0.0,0.412297516862134,2025-12-01,0.38252511620521545,0.023505020886659622,NOT_TOP30,10
