S.No.	Company Name	Industry	NSE Sector	Symbol
1	360 ONE WAM Ltd.	Financial Services	Financial Services	360ONE
2	3M India Ltd.	Diversified	Diversified	3MINDIA
3	ABB India Ltd.	Capital Goods	Capital Goods	ABB
4	ACC Ltd.	Construction Materials	Construction Materials	ACC
5	ACME Solar Holdings Ltd.	Power	Power	ACMESOLAR
6	AIA Engineering Ltd.	Capital Goods	Capital Goods	AIAENG
7	APL Apollo Tubes Ltd.	Capital Goods	Capital Goods	APLAPOLLO
8	AU Small Finance Bank Ltd.	Financial Services	Financial Services	AUBANK
9	AWL Agri Business Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	AWL
10	Aadhar Housing Finance Ltd.	Financial Services	Financial Services	AADHARHFC
11	Aarti Industries Ltd.	Chemicals	Chemicals	AARTIIND
12	Aavas Financiers Ltd.	Financial Services	Financial Services	AAVAS
13	Abbott India Ltd.	Healthcare	Healthcare	ABBOTINDIA
14	Action Construction Equipment Ltd.	Capital Goods	Capital Goods	ACE
15	Acutaas Chemicals Ltd.	Healthcare	Healthcare	ACUTAAS
16	Adani Energy Solutions Ltd.	Power	Power	ADANIENSOL
17	Adani Enterprises Ltd.	Metals & Mining	Metals & Mining	ADANIENT
18	Adani Green Energy Ltd.	Power	Power	ADANIGREEN
19	Adani Ports and Special Economic Zone Ltd.	Services	Services	ADANIPORTS
20	Adani Power Ltd.	Power	Power	ADANIPOWER
21	Adani Total Gas Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	ATGL
22	Aditya Birla Capital Ltd.	Financial Services	Financial Services	ABCAPITAL
23	Aditya Birla Fashion and Retail Ltd.	Consumer Services	Consumer Services	ABFRL
24	Aditya Birla Lifestyle Brands Ltd.	Consumer Services	Consumer Services	ABLBL
25	Aditya Birla Real Estate Ltd.	Realty	Realty	ABREL
26	Aditya Birla Sun Life AMC Ltd.	Financial Services	Financial Services	ABSLAMC
27	Aditya Infotech Ltd.	Capital Goods	Capital Goods	CPPLUS
28	Aegis Logistics Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	AEGISLOG
29	Aegis Vopak Terminals Ltd.	Oil Gas & Consumable Fuels	Oil Gas & Consumable Fuels	AEGISVOPAK
30	Afcons Infrastructure Ltd.	Construction	Construction	AFCONS
31	Affle 3i Ltd.	Information Technology	Information Technology	AFFLE
32	Ajanta Pharmaceuticals Ltd.	Healthcare	Healthcare	AJANTPHARM
33	Alkem Laboratories Ltd.	Healthcare	Healthcare	ALKEM
34	Allied Blenders and Distillers Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	ABDL
35	Amara Raja Energy & Mobility Ltd.	Automobile and Auto Components	Automobile and Auto Components	ARE&M
36	Amber Enterprises India Ltd.	Consumer Durables	Consumer Durables	AMBER
37	Ambuja Cements Ltd.	Construction Materials	Construction Materials	AMBUJACEM
38	Anand Rathi Wealth Ltd.	Financial Services	Financial Services	ANANDRATHI
39	Anant Raj Ltd.	Realty	Realty	ANANTRAJ
40	Angel One Ltd.	Financial Services	Financial Services	ANGELONE
41	Anthem Biosciences Ltd.	Healthcare	Healthcare	ANTHEM
42	Anupam Rasayan India Ltd.	Chemicals	Chemicals	ANURAS
43	Apar Industries Ltd.	Capital Goods	Capital Goods	APARINDS
44	Apollo Hospitals Enterprise Ltd.	Healthcare	Healthcare	APOLLOHOSP
45	Apollo Tyres Ltd.	Automobile and Auto Components	Automobile and Auto Components	APOLLOTYRE
46	Aptus Value Housing Finance India Ltd.	Financial Services	Financial Services	APTUS
47	Asahi India Glass Ltd.	Automobile and Auto Components	Automobile and Auto Components	ASAHIINDIA
48	Ashok Leyland Ltd.	Capital Goods	Capital Goods	ASHOKLEY
49	Asian Paints Ltd.	Consumer Durables	Consumer Durables	ASIANPAINT
50	Aster DM Quality Care Ltd.	Healthcare	Healthcare	ASTERDM
51	Astral Ltd.	Capital Goods	Capital Goods	ASTRAL
52	Ather Energy Ltd.	Automobile and Auto Components	Automobile and Auto Components	ATHERENERG
53	Atul Ltd.	Chemicals	Chemicals	ATUL
54	Aurobindo Pharma Ltd.	Healthcare	Healthcare	AUROPHARMA
55	Authum Investment & Infrastructure Ltd.	Financial Services	Financial Services	AIIL
56	Avenue Supermarts Ltd.	Consumer Services	Consumer Services	DMART
57	Axis Bank Ltd.	Financial Services	Financial Services	AXISBANK
58	BEML Ltd.	Capital Goods	Capital Goods	BEML
59	BLS International Services Ltd.	Consumer Services	Consumer Services	BLS
60	BSE Ltd.	Financial Services	Financial Services	BSE
61	Bajaj Auto Ltd.	Automobile and Auto Components	Automobile and Auto Components	BAJAJ-AUTO
62	Bajaj Finance Ltd.	Financial Services	Financial Services	BAJFINANCE
63	Bajaj Finserv Ltd.	Financial Services	Financial Services	BAJAJFINSV
64	Bajaj Holdings & Investment Ltd.	Financial Services	Financial Services	BAJAJHLDNG
65	Bajaj Housing Finance Ltd.	Financial Services	Financial Services	BAJAJHFL
66	Balkrishna Industries Ltd.	Automobile and Auto Components	Automobile and Auto Components	BALKRISIND
67	Balrampur Chini Mills Ltd.	Fast Moving Consumer Goods	Fast Moving Consumer Goods	BALRAMCHIN
