feature,importance
max_drawdown_252d,0.1132801075361795
volatility_60d,0.09591585335201096
volatility_252d,0.09194835180838556
sharpe_252d,0.07588774461121046
avg_volume_20d,0.0696822201363609
price_to_sma50,0.06851672050899155
rolling_52w_low,0.06645125956658889
return_126d,0.046308198377368
volatility_20d,0.04425484016708547
macd_signal,0.03645528312020903
macd,0.03222874669638433
rolling_52w_high,0.028317025494486826
sma_50,0.02637647234263776
sma_100,0.024692398384106973
drawdown,0.023928333162979785
return_63d,0.02355080182766942
return_21d,0.020135847911732816
sma_200,0.01563372583566182
price_to_sma200,0.014979515405809912
macd_histogram,0.014148790075643668
distance_52w_low,0.013658544550427542
return_252d,0.013130747058279827
price_to_sma20,0.010707508430153917
distance_52w_high,0.006743450092079972
ema_26,0.005690574971387818
rsi_14,0.0055960623486578515
ema_12,0.005357630043943647
sma_20,0.004944968586148425
return_5d,0.0014782775974175137
daily_return,0.0
open_close_return,0.0
gap_return,0.0
high_low_range,0.0
volume_change,0.0
volume_ratio,0.0
