symbol,step,action_id,trade_action,q_hold,q_buy,q_sell,reward,executed,portfolio_value,cash,shares,current_drawdown,max_drawdown
360ONE,1,0,HOLD,-0.9898139238357544,-0.9942266345024109,-0.9983602166175842,0.0,False,1000000.0,1000000.0,0.0,0.0,0.0
360ONE,2,0,HOLD,-1.0771101713180542,-1.0901488065719604,-1.0865153074264526,0.0,False,1000000.0,1000000.0,0.0,0.0,0.0
360ONE,3,0,HOLD,-1.130403995513916,-1.1554718017578125,-1.1413952112197876,0.0,False,1000000.0,1000000.0,0.0,0.0,0.0
360ONE,4,0,HOLD,-1.1009591817855835,-1.1276260614395142,-1.1131445169448853,0.0,False,1000000.0,1000000.0,0.0,0.0,0.0
360ONE,5,1,BUY,-1.060974359512329,-1.0460182428359985,-1.103440761566162,0.0014006324981690188,False,1001400.632498169,900533.1306671143,150.0,0.0,0.0
360ONE,6,0,HOLD,-1.0422357320785522,-1.0446395874023438,-1.0862174034118652,0.0003445156291590479,False,1001745.6306671143,900533.1306671143,150.0,0.0,0.0
360ONE,7,1,BUY,-1.0176465511322021,-1.0141576528549194,-1.0332406759262085,0.0022834790481254252,False,1004033.0958262939,810701.6389171142,283.0,0.0,0.0
360ONE,8,0,HOLD,-1.0110005140304565,-1.0188781023025513,-1.0207170248031616,-0.0015784615500293738,False,1003240.6820079345,810701.6389171142,283.0,-0.0007892307750146806,-0.0007892307750146806
360ONE,9,0,HOLD,-0.980289101600647,-0.9864076972007751,-0.9879099726676941,-0.006795267697766162,False,1000226.7423717041,810701.6389171142,283.0,-0.003791063731278012,-0.003791063731278012
360ONE,10,0,HOLD,-0.9841787815093994,-0.9920048713684082,-0.9923105239868164,-0.003791063731278012,False,1000226.7423717041,810701.6389171142,283.0,-0.003791063731278012,-0.003791063731278012
360ONE,11,0,HOLD,-0.8751869797706604,-0.8822044730186462,-0.8814846873283386,-0.008365956842021982,False,997934.4320079345,810701.6389171142,283.0,-0.006074166124315184,-0.006074166124315184
360ONE,12,0,HOLD,-0.9521534442901611,-0.9651382565498352,-0.9644520282745361,-0.014584166435726574,False,993675.2854625244,810701.6389171142,283.0,-0.010316204123973936,-0.010316204123973936
360ONE,13,0,HOLD,-0.978485643863678,-0.9869778752326965,-0.9964351058006287,-0.012299529893113717,False,992684.7854625244,810701.6389171142,283.0,-0.011302725389176696,-0.011302725389176696
360ONE,14,0,HOLD,-0.9771214127540588,-0.9867581129074097,-0.9970829486846924,-0.019410084591563653,False,988637.8889171142,810701.6389171142,283.0,-0.01533336597486343,-0.01533336597486343
360ONE,15,0,HOLD,-1.027470588684082,-1.037995457649231,-1.0410608053207397,-0.02087249356781064,False,985878.6389171142,810701.6389171142,283.0,-0.01808153235649969,-0.01808153235649969
360ONE,16,0,HOLD,-1.0538899898529053,-1.065752625465393,-1.076559066772461,-0.01921936596847281,False,985312.6389171142,810701.6389171142,283.0,-0.01864525879375841,-0.01864525879375841
