symbol,start_date,end_date,steps,initial_portfolio_value,final_portfolio_value,portfolio_return,portfolio_return_percent,total_reward,hold_actions,buy_actions,sell_actions,executed_trades,max_drawdown,max_drawdown_percent,transaction_costs,mean_q_hold,mean_q_buy,mean_q_sell
360ONE,2019-10-22,2023-12-29,1040,1000000.0,1069442.2882826836,0.0694422882826835,6.944228828268351,-24.885095006455874,659,58,323,325,-0.07596073080375507,-7.596073080375507,,-1.1798006947223956,-1.1948059287208777,-1.1901393262812725
BHARATFORG,2019-01-01,2023-12-29,1234,1000000.0,1331966.4089748838,0.33196640897488394,33.19664089748839,-23.80810552213876,1120,46,68,94,-0.11421670613851816,-11.421670613851816,,-1.1761201285369198,-1.1965752383105372,-1.196162039012538
CGCL,2019-01-01,2023-12-29,1234,1000000.0,1353884.2812124246,0.35388428121242455,35.388428121242455,-13.950215242480043,1037,61,136,152,-0.08389568989268505,-8.389568989268504,,-1.175635465733236,-1.1944906707714211,-1.19244369869294
CREDITACC,2019-01-01,2023-12-29,1234,1000000.0,1095957.1009500737,0.0959571009500737,9.59571009500737,-40.02892849403618,889,80,265,295,-0.16574936163698936,-16.574936163698936,,-1.1845147431476384,-1.1989992845386894,-1.19664128102978
GVT&D,2019-01-01,2023-12-29,1234,1000000.0,1331989.578273872,0.331989578273872,33.1989578273872,-119.72842861139611,813,142,279,368,-0.22588130503068343,-22.588130503068342,,-1.1907904583302658,-1.20278509480447,-1.1993294737424032
HBLENGINE,2019-01-01,2023-12-29,1234,1000000.0,2283459.5874648048,1.283459587464805,128.3459587464805,-51.77523422868814,831,224,179,267,-0.16925813832971257,-16.925813832971258,,-1.1947774647990155,-1.2051132195772576,-1.2032558778889562
HINDCOPPER,2019-01-01,2023-12-29,1234,1000000.0,1955369.507414156,0.9553695074141562,95.53695074141561,-79.57821862377152,959,152,123,194,-0.1682957973474836,-16.82957973474836,,-1.1932050966366377,-1.2069862945732845,-1.2059323354903457
HONASA,2023-12-07,2023-12-29,15,1000000.0,1026037.1832234497,0.026037183223449833,2.6037183223449833,-0.047090807907096834,5,9,1,6,-0.019332744903608392,-1.9332744903608392,,-1.1738217751185098,-1.1578479051589965,-1.169797380765279
IDEA,2019-01-01,2023-12-29,1234,1000000.0,1452657.6082942476,0.4526576082942477,45.26576082942477,-127.33437481663286,779,269,186,346,-0.282360197373412,-28.236019737341202,,-1.2037760722579214,-1.2107356822471371,-1.2100861151272513
MRPL,2019-01-01,2023-12-29,1234,1000000.0,1416583.5878852839,0.41658358788528393,41.658358788528396,-70.97217899115152,908,146,180,265,-0.17824353979532984,-17.824353979532983,,-1.18599132147755,-1.1998974785232852,-1.1985211540466383
