symbol,start_date,end_date,steps,initial_portfolio_value,final_portfolio_value,portfolio_return,portfolio_return_percent,total_reward,hold_actions,buy_actions,sell_actions,executed_trades,max_drawdown,max_drawdown_percent,transaction_costs,mean_q_hold,mean_q_buy,mean_q_sell
360ONE,2024-01-01,2024-12-31,245,1000000.0,1076434.281681091,0.07643428168109101,7.643428168109101,-0.9961390047378406,187,7,51,58,-0.018351802839470303,-1.8351802839470304,,-1.1809937910157806,-1.197105557091382,-1.1948455878666469
BHARATFORG,2024-01-01,2024-12-31,245,1000000.0,1039817.8641842043,0.03981786418420419,3.981786418420419,-5.232936802210532,227,5,13,17,-0.0609858633170343,-6.09858633170343,,-1.1770934844503598,-1.1984799175846332,-1.1978031873703003
CGCL,2024-01-01,2024-12-31,245,1000000.0,1023946.3468141938,0.02394634681419383,2.394634681419383,-13.26823174955533,106,70,69,102,-0.08183051154432405,-8.183051154432405,,-1.2009965867412333,-1.2001540884679678,-1.200600723831021
CREDITACC,2024-01-01,2024-12-31,245,1000000.0,889756.2225234982,-0.11024377747650171,-11.02437774765017,-10.84433863715642,213,9,23,32,-0.12364716741757974,-12.364716741757974,,-1.1866106403117278,-1.2074432163822408,-1.2048437206112608
GVT&D,2024-01-01,2024-12-31,245,1000000.0,1191322.1686875,0.19132216868749996,19.132216868749996,-1.893356858030156,175,14,56,67,-0.03129600845082977,-3.129600845082977,,-1.1860486045175669,-1.2002384414478224,-1.196111407085341
HBLENGINE,2024-01-01,2024-12-31,245,1000000.0,1058240.1450991821,0.05824014509918207,5.824014509918207,-5.83462154477468,178,33,34,56,-0.0736001179823613,-7.36001179823613,,-1.1972619733031915,-1.2093089565938833,-1.2069730257501408
HINDCOPPER,2024-01-01,2024-12-31,245,1000000.0,1031726.8560183413,0.03172685601834124,3.1726856018341243,-8.923445301934862,188,32,25,40,-0.07370777933953503,-7.3707779339535024,,-1.2011441800059104,-1.211887610201933,-1.2109139700325169
HONASA,2024-01-01,2024-12-31,245,1000000.0,963640.1075769189,-0.03635989242308113,-3.635989242308113,-5.73009017037124,131,29,85,112,-0.10185171234430336,-10.185171234430337,,-1.2055559625430983,-1.2158874073807073,-1.2106067905620652
IDEA,2024-01-01,2024-12-31,245,1000000.0,891239.1702714977,-0.10876082972850232,-10.87608297285023,-17.87543597857248,181,31,33,52,-0.16577642127938969,-16.57764212793897,,-1.2227713312421526,-1.2317165958638094,-1.2300741283261045
MRPL,2024-01-01,2024-12-31,245,1000000.0,981338.4368684086,-0.018661563131591397,-1.8661563131591397,-20.126985468529575,156,54,35,57,-0.15996947854579172,-15.996947854579172,,-1.1954475186309037,-1.2049566054830745,-1.2033038212328542
