episode,symbol,steps,total_reward,mean_loss,epsilon,replay_size,learning_steps,target_updates,hold_actions,buy_actions,sell_actions,executed_trades,final_portfolio_value,max_drawdown,episode_seconds
1,GVT&D,872,-77.9278122835985,,1.0,872,0,0,314,265,293,491,929969.0701408689,-0.18379843088466,0.8386388999642804
2,HBLENGINE,965,-78.17031402411892,0.0014526142461891098,0.05,1837,838,3,169,567,229,438,999761.0155058419,-0.22780099909942683,10.769235100015067
3,CREDITACC,65,-0.4522681433170249,0.0005132768795682261,0.05,1902,903,3,6,54,5,9,1092950.81577388,-0.03853095328634628,0.7700539000798017
4,MRPL,965,-44.023452930403465,0.0005782357377538197,0.05,2867,1868,7,84,777,104,285,1109898.890421853,-0.17421758500579385,11.262228399980813
5,IDEA,965,-142.73045491543263,0.000723935122127582,0.05,3832,2833,11,116,676,173,368,784995.302735561,-0.2930851979511093,11.483761899988167
6,CGCL,965,-64.65006898586866,0.0010007361933309102,0.05,4797,3798,15,177,644,144,359,1637552.905943857,-0.17545201199316643,11.370144999935292
7,HINDCOPPER,965,-55.380696390152465,0.0010134109258808563,0.05,5762,4763,19,433,473,59,186,997578.426550857,-0.17029062074297505,11.30872729991097
8,BHARATFORG,965,-54.8142334965663,0.0009437323944194368,0.05,6727,5728,22,565,360,40,93,970950.3087388007,-0.13880691268262801,11.397639599977992
9,BHARATFORG,965,-56.603346971468554,0.0008776111476403212,0.05,7692,6693,26,680,255,30,100,1001142.9344623112,-0.1424964306066257,11.285077500040643
10,CREDITACC,65,-0.9205474463933944,0.0011494793942592178,0.05,7757,6758,27,28,33,4,13,1076278.6881942293,-0.06056990676292846,0.762154099997133
11,MRPL,965,-45.00556112755402,0.0008968915317118303,0.05,8722,7723,30,594,335,36,113,1135355.117027127,-0.1761456847622707,11.349307299940847
12,CGCL,965,-56.8406872229449,0.0008750599003433119,0.05,9687,8688,34,375,497,93,286,1481087.8285211448,-0.14892644143923184,11.435252700001001
13,HBLENGINE,965,-77.36666971130342,0.0009009108714303339,0.05,10652,9653,38,617,295,53,170,1016851.2053552562,-0.2365787977505129,11.278380100033246
14,HINDCOPPER,965,-60.37483483850574,0.0008789015544211694,0.05,11617,10618,42,602,312,51,171,988325.9085464523,-0.1739991998876798,11.423849200014956
15,GVT&D,872,-83.30521001629896,0.0008268079198037121,0.05,12489,11490,45,412,418,42,169,911637.5383040012,-0.20228203922343327,10.19112730002962
16,IDEA,965,-171.3780701137032,0.0009761045126689578,0.05,13454,12455,49,627,281,57,169,700998.6486565374,-0.3692846597605562,11.350284100044519
